"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Spotify-GT","MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","Video Views","","$ 2,499.99","58,139.30","0.00","0 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Spotify-CR","MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","Video Views","","$ 2,499.99","58,139.30","0.00","0 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Spotify-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","Video Views","$ 2,500.02","$ 833.34","58,140.00","0.00","0 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Spotify-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","Video Views","$ 2,500.02","$ 833.34","58,140.00","0.00","0 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Claro Mobile-GT","MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE","Impressions","","$ 1,480.00","197,333,333","78,388","0 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis PUSH NOTIFICATION ADS-GT","MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","","$ 2,824.00","6,875,025","210,081","3 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Claro Mobile-GT","MCMPR_2021_GTM_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE","Impressions","","$ 750.00","1,875,000","88,184","5 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis PUSH NOTIFICATION ADS-CR","MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","","$ 2,506.40","6,125,025","364,069","6 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Kidscorp-CO","MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPV-KIDSCORP","Video Views","","$ 89.91","73,705.00","4,757.00","6 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis - Video-SV","MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","$ 1,318.00","$ 963.64","329,500.00","24,096.00","7 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Xaxis - Standard Banners-CO","MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS","Impressions","","$ 114.67","509,283","42,470","8 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis PUSH NOTIFICATION ADS-GT","MCMPR_2021_GTM_KELLOGGS_SPECIALK_SEASONAL_ALIMENTAMOSLOQUEERES_XAXISPUSHNOTIFICATIONADS_BREAKFASTFORONE_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","","$ 1,014.80","750,000","76,721","10 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Azteca-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_REDCITYGDL_AZTECA_EVENINGME_FIXED-AZTECA","Video Views","","$ 7,156.49","2,375,000.00","250,000.00","11 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","$ 1,216.00","$ 1,379.24","304,000.00","34,500.00","11 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis - Video-CR","MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","$ 1,014.00","$ 1,842.16","253,500.00","46,082.00","18 %","< 90%"
