,Campaign Name
0,MCMMIA_2020_ARG_KELLOGGS_PRINGLES_SEASONAL_MOVIMIENTO PRINGLES_TIKTOK_EVENING ME
1,MCMCO_2020_COL_KELLOGGS_CORPORATE PROMOTIONS_SEASONAL_RAPPI - MUSLI_PULZO_BREAKFAST FOR ONE
2,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_INCA_BREAKFAST FOR ONE
3,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_CANAL RCN_BREAKFAST FOR ONE
4,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS_BREAKFAST FOR ONE
5,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_TEADS_BREAKFAST FOR ONE
6,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS - DISPLAY_BREAKFAST FOR ONE
7,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_W RADIO-DISPLAY_BREAKFAST FOR ONE
8,MCMMIA_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYS ON_XAXIS - DISPLAY_EVENING ME
9,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_TAPTAP-DISPLAY-STANDAR BANNER_BREAKFAST FOR ONE
10,MCMPR_2020_GTM_KELLOGGS_CHEEZ IT_SEASONAL_GALLETA O SNACK_XAXIS - VIDEO_MID-MORNING SNACK
11,MCMPR_2020_GTM_KELLOGGS_CHEEZ IT_SEASONAL_GALLETA O SNACK_AUDIO_MID-MORNING SNACK
12,MCMPR_2020_GTM_KELLOGGS_CHEEZ IT_SEASONAL_GALLETA O SNACK_XAXIS - DISPLAY_MID-MORNING SNACK
13,MCMPR_2020_PRI_KELLOGGS_SPECIAL K_SEASONAL_EMPIEZA FUERTE_XAXIS - VIDEO_BREAKFAST FOR ONE
14,MCMPR_2020_PRI_KELLOGGS_SPECIAL K_SEASONAL_REPOSICIONAMIENTO_AUDIO_BREAKFAST FOR ONE
15,MCMPR_2020_GTM_KELLOGGS_CHOCO KRISPIS_SEASONAL_REFORMULACION_AUDIO_FAMILY BREAKFAST
