Client Customer Id,Client Customer Name,Campaign ID,Campaign,Cost,Day,Campaign_duplicate,Agency,Year,Market,Client_name,Brand_portfolio,Temporality,Platform,Vendor,Initiative,Objective,Buying Type,Consumption Occasion,unified_brand,Country_iso_code,Country_full_name,Brand,New Buying Type,unified_brand,Datasource,date_copy,date_month,mplan_agency
6746957361,YOUTUBE_ZUCARITAS_CENAM,12685670338,MCMMIA_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST,8.3197300,2021-04-27,MCMMIA_2021_PAN_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPV_Family Breakfast_ABR_L13,MCMMIA,2021,PAN,Kelloggs,Zucaritas,Seasonal,Google,Youtube,Pura Garra,Affinity Audiences,CPV,Family Breakfast_ABR_L13,zucaritas,PA,,Zucaritas,CPV,zucaritas,Google Adwords,2021-04-27,4,Mediacom
6746957361,YOUTUBE_ZUCARITAS_CENAM,12686172917,MCMMIA_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST,7.6651950,2021-04-27,MCMMIA_2021_PAN_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPM_Family Breakfast_ABR_L14,MCMMIA,2021,PAN,Kelloggs,Zucaritas,Seasonal,Google,Youtube,Pura Garra,Affinity Audiences,CPM,Family Breakfast_ABR_L14,zucaritas,PA,,Zucaritas,CPM,zucaritas,Google Adwords,2021-04-27,4,Mediacom
6151137376,SEARCH-Pringles-COL,12512227868,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_SEM_PROMOXBOX_SEVERAL_CPC_EVENINGME,7.7600000,2021-04-27,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_SEM_Promo Xbox_Several_CPC_Evening Me_ABR_Brand,MCMMIA,2021,COL,Kelloggs,Pringles,Seasonal,Google,SEM,Promo Xbox,Several,CPC,Evening Me_ABR_Brand,pringles,CO,,Pringles,CPC,pringles,Google Adwords,2021-04-27,4,Mediacom
4557988497,YT Region-PRINGLES-MEX,12656920055,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME,3381.0404050,2021-04-27,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me_ABR_L13,MCMMX,2021,MEX,Kelloggs,Pringles,Seasonal,Google,Youtube,Promo Xbox,Affinity Audiences,CPV,Evening Me_ABR_L13,pringles,MX,,Pringles,CPV,pringles,Google Adwords,2021-04-27,4,Mediacom
4557988497,YT Region-PRINGLES-MEX,12692442929,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME,3620.3952920,2021-04-27,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me_ABR_L16,MCMMX,2021,MEX,Kelloggs,Pringles,Seasonal,Google,Youtube,Promo Xbox,Affinity Audiences,CPV,Evening Me_ABR_L16,pringles,MX,,Pringles,CPV,pringles,Google Adwords,2021-04-27,4,Mediacom
3041478300,YT Region-MASTERBRAND-MEX,12685275348,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_FREESTAMP_AFFINITYAUDIENCES_CPM_BREAKFASTFORONE,1499.7321110,2021-04-27,MCMMX_2021_MEX_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Free Stamp_Affinity Audiences_CPM_Breakfast for One_ABR_L13,MCMMX,2021,MEX,Kelloggs,Masterbrand,Seasonal,Google,Youtube,Free Stamp,Affinity Audiences,CPM,Breakfast for One_ABR_L13,masterbrand,MX,,Masterbrand,CPM,masterbrand,Google Adwords,2021-04-27,4,Mediacom
3041478300,YT Region-MASTERBRAND-MEX,12685367676,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_FREESTAMP_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE,1721.0365290,2021-04-27,MCMMX_2021_MEX_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Free Stamp_Affinity Audiences_CPV_Breakfast for One_ABR_L14,MCMMX,2021,MEX,Kelloggs,Masterbrand,Seasonal,Google,Youtube,Free Stamp,Affinity Audiences,CPV,Breakfast for One_ABR_L14,masterbrand,MX,,Masterbrand,CPV,masterbrand,Google Adwords,2021-04-27,4,Mediacom
2848778938,YOUTUBE_ZUCARITAS_CO,12713694691,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST,22.3077960,2021-04-27,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPM_Family Breakfast_ABR_L15,MCMMIA,2021,COL,Kelloggs,Zucaritas,Seasonal,Google,Youtube,Pura Garra,Affinity Audiences,CPM,Family Breakfast_ABR_L15,zucaritas,CO,,Zucaritas,CPM,zucaritas,Google Adwords,2021-04-27,4,Mediacom
2848778938,YOUTUBE_ZUCARITAS_CO,12713937548,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST,19.6200400,2021-04-27,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPV_Family Breakfast_ABR_L14,MCMMIA,2021,COL,Kelloggs,Zucaritas,Seasonal,Google,Youtube,Pura Garra,Affinity Audiences,CPV,Family Breakfast_ABR_L14,zucaritas,CO,,Zucaritas,CPV,zucaritas,Google Adwords,2021-04-27,4,Mediacom
2624469181,YOUTUBE_MASTERBRAND_CENAM,12687271570,MCMMIA_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE,13.0331000,2021-04-27,MCMMIA_2021_PAN_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Despierta Mucho Mas_Affinity Audiences_CPV_Breakfast for One_ABR_L19,MCMMIA,2021,PAN,Kelloggs,Masterbrand,Seasonal,Google,Youtube,Despierta Mucho Mas,Affinity Audiences,CPV,Breakfast for One_ABR_L19,masterbrand,PA,,Masterbrand,CPV,masterbrand,Google Adwords,2021-04-27,4,Mediacom
