CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,Temp Campaign Name,date_copy,date_month,mplan_agency,adverity_client_id,adverity_client_name
0.00%,Tracking,,6,12/5/2020 12:00:00 AM,MCMCO_Kelloggs,0,1075660445,0.0,1074026192,Xaxis LATAM,8/3/2020 12:00:00 AM,0,0,8/3/2020 12:00:00 AM,0.00%,Xaxis_ROS_Video_1x1_CPM_Several_Impressions_Display_Xaxis_1081032049,0,6,Display,200552,ROS,0,Froot Loops,https://rappi.app.link/m6RILljYz8,0,Tracking Pixel,12/5/2020 12:00:00 AM,10000,Xaxis_ROS_Video_1x1_CPM_Several_Impressions_Display_Xaxis,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Froot Loops_Seasonal_Froot Loops Jumbo_Sizmek_Family Breakfast_CPM-Xaxis - Display,MCMCO,2020,COL,Kelloggs,Froot Loops,Seasonal,Froot Loops Jumbo,Sizmek,Family Breakfast,CPM-Xaxis - Display,,frootloops,0.0,CPM,Froot Loops,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_RON_Standar Banner_CPM_Several_Impressions_Display_Choco Krispis,2,11/30/2020 12:00:00 AM,MCMCO_Kelloggs,0,1075780784,0.0,1074047186,Xaxis LATAM,9/17/2020 12:00:00 AM,0,0,9/17/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_300x600_CPM_Several_Views_Display,0,2,Display,200552,ROS,0,Choco Krispis,https://www.kellobyte.com/es_CO/choco-krispis.html?utm_source=Display&utm_medium=Xaxis&utm_campaign=La_Experiencia_Chocokrispis_Wave1_14_Sep_30_nov&utm_term=Banner_CO&utm_content=Banner,0,HTML5 Rich Media Banner,11/30/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_300x600_CPM_Several_Views_Display,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY-STANDARDBANNER,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Choco Krispis_Seasonal_Experiencia Chocokrispis_Sizmek_Family Breakfast_CPM-Xaxis - Display - Standard Banner,MCMCO,2020,COL,Kelloggs,Choco Krispis,Seasonal,Experiencia Chocokrispis,Sizmek,Family Breakfast,CPM-Xaxis - Display - Standard Banner,,chocokrispis,0.0,CPM,Choco Krispis,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY-STANDARDBANNER,2021-01-01,1,Mediacom,3,ktboClient
0.00%,Tracking,,4,12/31/2020 12:00:00 AM,MCMCO_Kelloggs,0,1075941583,0.0,1074083308,Xaxis LATAM,11/3/2020 12:00:00 AM,0,0,11/3/2020 12:00:00 AM,0.00%,Xaxis_ROS_Display_1x1_CPM_Several_Impressions_1081754381,0,4,Display,200552,ROS,0,pringles,https://www.rumbapringles.com/?utm_source=Xaxis&utm_medium=Banners_Standar&utm_campaign=Arma_la_Rumba_Pringles&utm_term=CPM&utm_content=BannersStandar,0,Tracking Pixel,12/31/2020 12:00:00 AM,10000,Xaxis_ROS_Display_1x1_CPM_Several_Impressions,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Pringles_Seasonal_Arma la Rumba_Sizmek_Evening Me_CPM-Xaxis-Display,MCMCO,2020,COL,Kelloggs,Pringles,Seasonal,Arma la Rumba,Sizmek,Evening Me,CPM-Xaxis-Display,,pringles,0.0,CPM,Pringles,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,0,12/31/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076069380,0.0,1074108785,Xaxis LATAM,12/9/2020 12:00:00 AM,20,0,12/9/2020 12:00:00 AM,0.00%,Video Insertos_2020,0,0,Display,200552,ROS,0,Corporate Promotions,https://www.superkelloggs.com/?utm_source=Xaxis_Preroll&utm_medium=CPV&utm_campaign=Insertos,0,In-Stream Video,12/31/2020 12:00:00 AM,77,Xaxis_ROS_Video_CPV_Several_Views,0,CPV,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Corporate Promotions_Seasonal_insertos 2_Sizmek_Breakfast for One_CPV-Xaxis - Video,MCMCO,2020,COL,Kelloggs,Corporate Promotions,Seasonal,insertos 2,Sizmek,Breakfast for One,CPV-Xaxis - Video,,corporatepromotions,0.0,CPV,Corporate Promotions,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,0,12/31/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076085362,0.0,1074108847,Xaxis LATAM,12/14/2020 12:00:00 AM,0,0,12/14/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_300x250_CPM_Several_Impressions_Display,0,0,Display,200552,ROS,0,Corporate Promotions,https://www.superkelloggs.com/?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=Insertos,0,Standard Banner,12/31/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_300x250_CPM_Several_Impressions_Display,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Corporate Promotions_Seasonal_Insertos 2_Sizmek_Breakfast for One_CPM-Xaxis - Display,MCMCO,2020,COL,Kelloggs,Corporate Promotions,Seasonal,Insertos 2,Sizmek,Breakfast for One,CPM-Xaxis - Display,,corporatepromotions,0.0,CPM,Corporate Promotions,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,2,12/31/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076085365,0.0,1074108847,Xaxis LATAM,12/14/2020 12:00:00 AM,0,0,12/14/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_320x50_CPM_Several_Impressions_Display,0,2,Display,200552,ROS,0,Corporate Promotions,https://www.superkelloggs.com/?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=Insertos,0,Standard Banner,12/31/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_320x50_CPM_Several_Impressions_Display,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Corporate Promotions_Seasonal_Insertos 2_Sizmek_Breakfast for One_CPM-Xaxis - Display,MCMCO,2020,COL,Kelloggs,Corporate Promotions,Seasonal,Insertos 2,Sizmek,Breakfast for One,CPM-Xaxis - Display,,corporatepromotions,0.0,CPM,Corporate Promotions,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,1,12/31/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076085372,0.0,1074108847,Xaxis LATAM,12/14/2020 12:00:00 AM,0,0,12/14/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_728x90_CPM_Several_Impressions_Display,0,1,Display,200552,ROS,0,Corporate Promotions,https://www.superkelloggs.com/?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=Insertos,0,Standard Banner,12/31/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_728x90_CPM_Several_Impressions_Display,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Corporate Promotions_Seasonal_Insertos 2_Sizmek_Breakfast for One_CPM-Xaxis - Display,MCMCO,2020,COL,Kelloggs,Corporate Promotions,Seasonal,Insertos 2,Sizmek,Breakfast for One,CPM-Xaxis - Display,,corporatepromotions,0.0,CPM,Corporate Promotions,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,8,12/30/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076143787,0.0,1074129450,Xaxis LATAM,12/29/2020 12:00:00 AM,0,0,12/29/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_300x250_CPM_Several_Impressions_Display_1,0,9,Display,200552,ROS,0,Healthy Kids,https://www.exito.com/lonchera-paketicos-ninos-12-und-80708/p?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=HealthyKids_300x250,0,Standard Banner,12/30/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_300x250_CPM_Several_Impressions_Display_1,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Healty Kids_Sizmek_Family Breakfast_CPM-Xaxis – Display,MCMCO,2020,COL,Kelloggs,Masterbrand,Seasonal,Healty Kids,Sizmek,Family Breakfast,CPM-Xaxis – Display,,masterbrand,0.0,CPM,Masterbrand,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,0,12/30/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076143789,0.0,1074129450,Xaxis LATAM,12/29/2020 12:00:00 AM,0,0,12/29/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_320x50_CPM_Several_Impressions_Display_1,0,1,Display,200552,ROS,0,Healthy Kids,https://www.exito.com/lonchera-paketicos-ninos-12-und-80708/p?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=HealthyKids_320x50,0,Standard Banner,12/30/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_320x50_CPM_Several_Impressions_Display_1,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Healty Kids_Sizmek_Family Breakfast_CPM-Xaxis – Display,MCMCO,2020,COL,Kelloggs,Masterbrand,Seasonal,Healty Kids,Sizmek,Family Breakfast,CPM-Xaxis – Display,,masterbrand,0.0,CPM,Masterbrand,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
0.00%,In Banner,Xaxis_ROS_Standar Banner_CPM_Several_Impressions_Display,2,12/30/2020 12:00:00 AM,MCMCO_Kelloggs,0,1076143791,0.0,1074129450,Xaxis LATAM,12/29/2020 12:00:00 AM,0,0,12/29/2020 12:00:00 AM,0.00%,Xaxis_ROS_Standard Banner_728x90_CPM_Several_Impressions_Display_1,0,3,Display,200552,ROS,0,Healthy Kids,https://www.exito.com/lonchera-paketicos-ninos-12-und-80708/p?utm_source=Xaxis_StandarBanners&utm_medium=CPM&utm_campaign=HealthyKids_728x90,0,Standard Banner,12/30/2020 12:00:00 AM,10000,Xaxis_ROS_Standard Banner_728x90_CPM_Several_Impressions_Display_1,0,CPM,0.00,1/1/2021 12:00:00 AM,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,CO,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Healty Kids_Sizmek_Family Breakfast_CPM-Xaxis – Display,MCMCO,2020,COL,Kelloggs,Masterbrand,Seasonal,Healty Kids,Sizmek,Family Breakfast,CPM-Xaxis – Display,,masterbrand,0.0,CPM,Masterbrand,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY,2021-01-01,1,Mediacom,3,ktboClient
