CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,Temp Campaign Name,date_copy,date_month,mplan_agency,adverity_client_id,adverity_client_name
0.00%,In-Stream Video,,0,1/6/2021 12:00:00 AM,Kellogg's CARICAM,0,1076135307,0.04,1074126803,Xaxis LATAM,1/4/2021 12:00:00 AM,27,1,1/4/2021 12:00:00 AM,62.50%,Video_27SS_BackToSchool_Xaxis - Video_TR_GTM,1,0,Display,1073764495,ROS,1,Corporate,https://www.youtube.com/watch?v=s5R8OfaGl2s&feature=youtu.be,1,In-Stream Video,1/6/2021 12:00:00 AM,0.04,Xaxis - Video2_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_GTM,1,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,GT,MCMPR_2021_GTM_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_2,MCMPR,2021,GTM,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,0.04,CPV,Corporate Promotions,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
0.38%,In-Stream Video,,2111,1/31/2021 12:00:00 AM,Kellogg's CARICAM,8,1076155545,84.36,1074132726,Xaxis LATAM,1/14/2021 12:00:00 AM,28,1109,1/14/2021 12:00:00 AM,58.09%,Video_27SS_BackToSchool_Xaxis - Video_TR_GTM3,1721,2113,Display,1073764495,ROS,1362,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,1552,In-Stream Video,1/31/2021 12:00:00 AM,0.04,Xaxis - Video3_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_GTM,2110,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,GT,MCMPR_2021_GTM_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_3,MCMPR,2021,GTM,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,84.36,CPV,Corporate Promotions,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
0.73%,In-Stream Video,,1787,1/31/2021 12:00:00 AM,Kellogg's CARICAM,13,1076155587,71.4,1074132735,Xaxis LATAM,1/16/2021 12:00:00 AM,28,959,1/16/2021 12:00:00 AM,58.28%,Video_27SS_BackToSchool_Xaxis - Video_TR_SLV3,1451,1789,Display,1073764495,ROS,1126,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,1271,In-Stream Video,1/31/2021 12:00:00 AM,0.04,Xaxis - Video3_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_SLV,1785,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,SV,MCMPR_2021_SLV_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_3,MCMPR,2021,SLV,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,71.4,CPV,Corporate Promotions,MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
0.91%,In-Stream Video,,4812,1/31/2021 12:00:00 AM,Kellogg's CARICAM,44,1076174642,192.04,1074135946,Xaxis LATAM,1/25/2021 12:00:00 AM,28,2680,1/25/2021 12:00:00 AM,58.42%,Video_27SS_BackToSchool_Xaxis - Video_TR_CRI3,4014,4816,Display,1073764495,ROS,3188,Corporate,https://www.kelloggs.com.gt/es_GT/home.html,3573,In-Stream Video,1/31/2021 12:00:00 AM,0.04,Xaxis - Video3_ RON_Video_0X0_CPV_Several_Views_Video_BackToSchool_TR_CRI,4801,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,CR,MCMPR_2021_CRI_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Family Breakfast_CPV-Xaxis - Video_3,MCMPR,2021,CRI,Kelloggs,Corporate Promotions,Seasonal,Back to School,Sizmek,Family Breakfast,CPV-Xaxis - Video,,corporatepromotions,192.04,CPV,Corporate Promotions,MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
0.45%,In-Stream Video,,5329,4/30/2021 12:00:00 AM,Kellogg's CARICAM,24,1076188190,160.35,1074138105,Xaxis LATAM,1/18/2021 12:00:00 AM,20,3028,1/18/2021 12:00:00 AM,59.38%,Zucaritas_20_CARICAM_YT_210111,4092,5333,Display,1073764495,0,3364,Zucaritas,https://www.kellobyte.com/es_PA/zucaritas.html,3718,In-Stream Video,4/30/2021 12:00:00 AM,0.03,Xaxis - Video_ RON_Video_0X0_CPV_Several_Views_Video_Pura Garra_TR_PAN,5346,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,PA,MCMPR_2021_PAN_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video,MCMPR,2021,PAN,Kelloggs,Zucaritas,Seasonal,Pura Garra,Sizmek,Family Breakfast,CPV-Xaxis - Video,,zucaritas,160.35,CPV,Zucaritas,MCMPR_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,16,8/5/2020 12:00:00 AM,Kellogg's CARICAM,0,1075611025,0.0,1074022708,Eikon Digital Latam,7/16/2020 12:00:00 AM,30,0,7/16/2020 12:00:00 AM,36.11%,RKT_Vf01_Costa Rica,15,32,Display,1073764495,RON,0,Rice Krispis Treats,https://www.kelloggs.com.gt/es_GT/products/rice-krispis-barra-product.html,12,In-Stream Video,8/5/2020 12:00:00 AM,0.12,Eikon - Preroll_RON_Video_CPCV_Several_Amor para Llevar_CRI,16,CPCV,0.00,1/23/2021 12:00:00 AM,MCMPR_2020_CRI_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021-01-23,CR,MCMPR_2020_CRI_Kelloggs_Rice Krispies_Seasonal_Amor para Llevar_Sizmek_Mid-Morning Snack_CPCV-Eikon,MCMPR,2020,CRI,Kelloggs,Rice Krispies,Seasonal,Amor para Llevar,Sizmek,Mid-Morning Snack,CPCV-Eikon,,ricekrispies,0.0,CPCV,Rice Krispies,MCMPR_2020_CRI_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021-01-23,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,19,8/5/2020 12:00:00 AM,Kellogg's CARICAM,0,1075611116,0.0,1074022710,Eikon Digital Latam,7/16/2020 12:00:00 AM,30,0,7/16/2020 12:00:00 AM,33.93%,RKT_Vf01_Guatemala,18,36,Display,1073764495,RON,0,Rice Krispis Treats,https://www.kelloggs.com.gt/es_GT/products/rice-krispis-barra-product.html,10,In-Stream Video,8/5/2020 12:00:00 AM,0.12,Eikon - Preroll_RON_Video_CPCV_Several_Amor para Llevar_GTM,19,CPCV,0.00,1/23/2021 12:00:00 AM,MCMPR_2020_GTM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021-01-23,GT,MCMPR_2020_GTM_Kelloggs_Rice Krispies_Seasonal_Amor para Llevar_Sizmek_Mid-Morning Snack_CPCV-Eikon,MCMPR,2020,GTM,Kelloggs,Rice Krispies,Seasonal,Amor para Llevar,Sizmek,Mid-Morning Snack,CPCV-Eikon,,ricekrispies,0.0,CPCV,Rice Krispies,MCMPR_2020_GTM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021-01-23,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,6,10/31/2020 12:00:00 AM,Kellogg's CARICAM,0,1075851942,0.0,1074067658,Eikon Digital Latam,10/9/2020 12:00:00 AM,13,4,10/9/2020 12:00:00 AM,56.58%,programatica RKT Jamaica,6,12,Display,1073764495,RON,3,Rice Krispis Treats,https://www.ricekrispies.com/en_US/products/treats.html,6,In-Stream Video,10/31/2020 12:00:00 AM,0.12,Eikon - Preroll_RON_Video_CPCV_Several_A Sweey Way to Share the Love_JAM,6,CPCV,0.00,1/23/2021 12:00:00 AM,MCMPR_2020_JAM_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON,2021-01-23,JA,MCMPR_2020_JAM_Kelloggs_Rice Krispies_Seasonal_Rice Krispies Treat_Sizmek_Afternoon Snack_CPCV-Eikon,MCMPR,2020,JAM,Kelloggs,Rice Krispies,Seasonal,Rice Krispies Treat,Sizmek,Afternoon Snack,CPCV-Eikon,,ricekrispies,0.0,CPCV,Rice Krispies,MCMPR_2020_JAM_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON,2021-01-23,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,5,10/31/2020 12:00:00 AM,Kellogg's CARICAM,0,1075852938,0.36,1074067676,Eikon Digital Latam,10/9/2020 12:00:00 AM,13,3,10/9/2020 12:00:00 AM,56.25%,programatica RKT Bahamas,5,8,Display,1073764495,RON,3,Rice Krispis Treats,https://www.ricekrispies.com/en_US/products/treats.html,5,In-Stream Video,10/31/2020 12:00:00 AM,0.12,Eikon - Preroll_RON_Video_CPCV_Several_A Sweey Way to Share the Love_BAH,5,CPCV,0.00,1/23/2021 12:00:00 AM,MCMPR_2020_BHS_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON,2021-01-23,BH,MCMPR_2020_BHS_Kelloggs_Rice Krispies_Seasonal_Rice Krispies Treat_Sizmek_Afternoon Snack_CPCV-Eikon,MCMPR,2020,BHS,Kelloggs,Rice Krispies,Seasonal,Rice Krispies Treat,Sizmek,Afternoon Snack,CPCV-Eikon,,ricekrispies,0.36,CPCV,Rice Krispies,MCMPR_2020_BHS_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON,2021-01-23,1,Mediacom,3,ktboClient
0.00%,In-Stream Video,,0,5/3/2020 12:00:00 AM,Kellogg's CARICAM,0,1075417915,0.0,1074002887,Eikon Digital,4/13/2020 12:00:00 AM,28,0,4/13/2020 12:00:00 AM,0.00%,programatic_1,0,0,Display,1073764495,ROS,0,Rice Krispis Treats,N/A,0,In-Stream Video,5/3/2020 12:00:00 AM,0.12,Eikon - Preroll_RON_Video_CPV_Several_Amor para Llevar_GTM - MAY-JUL,0,CPV,0.00,1/23/2021 12:00:00 AM,MCMPR_2020_CENAM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPV-SEVERAL-VIDEO,2021-01-23,Several,MCMPR_2020_CENAM_Kelloggs_Rice Krispies_Seasonal_Amor para Llevar_Sizmek_Mid-Morning Snack_CPV-Several-Video,MCMPR,2020,CENAM,Kelloggs,Rice Krispies,Seasonal,Amor para Llevar,Sizmek,Mid-Morning Snack,CPV-Several-Video,,ricekrispies,0.0,CPV,Rice Krispies,MCMPR_2020_CENAM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPV-SEVERAL-VIDEO,2021-01-23,1,Mediacom,3,ktboClient
