"Mediaplan","Mediaplan Placement","Campaign Name","Current value","Expected value","Target value"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Miami","Facebook and Instagram-CL","MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","","8,173,044","17,500,000"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Miami","Facebook and Instagram-CL","MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE","","11,676","25,000"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Miami","Xaxis - Standard Banners-CL","MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS","","2,498,616","5,350,000"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Miami","Xaxis Rich Media-CL","MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_SIZMEK_BREAKFASTFORONE_CPM-XAXISRICHMEDIA","","624,654","1,337,500"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","6,280,163","7,517,271","7,517,271"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAFELICIDAD_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","","1,644,444","1,644,444"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_BENEFICIOSCEREAL_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","1,124,732","1,644,444","1,644,444"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE","7,444,081","24,000,000","24,000,000"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_FACEBOOK_VIDEOVIEWS_CPCV_BREAKFASTFORONE","","1,847,885","8,921,755.73"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Cornershop-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_POSITIVE_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP","","120,000","120,000"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_HERSHEYS_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","","105,884,432","170,948,750"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRADELICE_SEASONAL_EXTRADELICE_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_MID-MORNINGSNACK","","12,667","12,667"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRADELICE_SEASONAL_EXTRADELICE_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_MID-MORNINGSNACK","","10,692","10,691.64"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","","8,934,426","8,934,426"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Xaxis - Standard Banners-MX","MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS","","22,420,413","58,770,000"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Google - Reserva-MX","MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPV","","3,153,754","8,266,847.62"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Cornershop-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP","","300,000","300,000"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Google - Reserva-MX","MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPM","","12,199,525","12,199,525"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NUEVOAÑO_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","","4,486,519","14,122,137"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALRELEVANCE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","","8,973,038","28,244,275"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CIMMYT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","","9,753,303","30,700,299"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","","87,678,905","275,985,341"
