"Mediaplan","Mediaplan Placement","Campaign Name","Target value","Current value"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Facebook and Instagram-GT","MCMMIA_2020_GTM_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","5,935,556","8,138,181"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Facebook and Instagram-PA","MCMMIA_2020_PAN_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","1,464,444","2,310,570"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Facebook and Instagram-CR","MCMMIA_2020_CRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","2,133,333","2,292,675"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Youtube-GT","MCMMIA_2020_GTM_KELLOGGS_FROOTLOOPS_SEASONAL_XAXIS_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","312,500.00","677,325.00"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Youtube-PA","MCMMIA_2020_PAN_KELLOGGS_FROOTLOOPS_SEASONAL_XAXIS_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","125,000.00","269,319.00"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Youtube-CR","MCMMIA_2020_CRI_KELLOGGS_FROOTLOOPS_SEASONAL_XAXIS_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","187,500.00","251,140.00"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Facebook and Instagram-PR","MCMMIA_2020_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","4,444,444","2,401,086"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Youtube-PR","MCMMIA_2020_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_XAXIS_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","1,000,000.00","413,556.00"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","4,995,556","3,857,015"
"2020_ktbo_kube_Adverity_Mediaplan_Diciembre-Caricam","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_FROOTLOOPS_SEASONAL_XAXIS_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","882,750.00","999,305.00"
