Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Pipí,Caca,Culo,Pedo
2020-01-27,2020-02-02 00:00:00,February,Zucaritas,MEX,Mexico,MCMMIA_2020_MEX_Kelloggs_Zucaritas_Seasonal_Patrocinio Super Bowl_Twitter_Family breakfast,Twitter,Twitter,First View + PTR,Views,28394.6980071538,,7800000.0,,0.0,,,1000000.0,,,,0.0,,0.0,,,,pautas_locales_mexico_febrero.xlsx,,,,
2020-01-27,2020-02-02 00:00:00,February,Zucaritas,MEX,Mexico,MCMMIA_2020_MEX_Kelloggs_Zucaritas_Seasonal_Patrocinio Super Bowl_Twitter_Family breakfast,Twitter,Twitter,Promoted Tweet,Engagement,5109.86203372509,,1000000.0,,0.0,,,406000.0,,,,0.0,,0.0,,,,pautas_locales_mexico_febrero.xlsx,,,,
2020-01-27,2020-02-15 00:00:00,February,Special K,MEX,Mexico,MCMMX_2020_MEX_Kelloggs_Special K_Seasonal_Tote Bags_Cornershop_Breakfast for One,Cornershop,Cornershop,Several,Impressions,7664.79305058763,,94685.0,,0.0,,,0.0,,,,0.0,,0.0,78112.0,1844.0,,pautas_locales_mexico_febrero.xlsx,,,,
2020-02-19,2020-02-28 00:00:00,February,Extra,MEX,Mexico,MCMMX_2020_MEX_Kelloggs_Extra_Seasonal_Extra_Cornershop_Breakfast for One,Cornershop,Cornershop,Several,Conversions,2350.53653551354,,64505.0,,0.0,,,0.0,,,,0.0,,0.0,31003.0,632.0,,pautas_locales_mexico_febrero.xlsx,,,,
2020-01-27,2020-02-29 00:00:00,February,Pringles,MEX,Mexico,MCMMX_2020_MEX_Kelloggs_Pringles_Seasonal_Red City_Xaxis_Evening Me,Xaxis,Xaxis,DOOH,Impressions,5109.86203372509,,586854.0,8.70721173192155,0.0,,,0.0,,,,0.0,,0.0,,,,pautas_locales_mexico_febrero.xlsx,,,,
2020-02-17,2020-02-29 00:00:00,February,Pringles,MEX,Mexico,MCMMX_2020_MEX_Kelloggs_Pringles_Seasonal_Red City_Rappi_Evening Me,Rappi,Rappi,Several,Engagement,3375.84517393435,,13427.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,11.0,,pautas_locales_mexico_febrero.xlsx,,,,
2020-02-13,2020-02-29 00:00:00,February,Pringles,MEX,Mexico,MCMMIA_2020_MEX_Kelloggs_Pringles_Seasonal_Red City_Twitter_Evening Me,Twitter,Twitter,Rt to remind,Engagement,3121.28,,0.0,,0.0,,,0.0,,,,0.0,,25533.0,,,,pautas_locales_mexico_febrero.xlsx,,,,
2020-01-27,2020-02-29 00:00:00,February,Extra,MEX,Mexico,MCMMX_2020_MEX_Kelloggs_Extra_Seasonal_Red City_Cornershop_Breakfast for One,Cornershop,Cornershop,Several,Conversions,2884.46601941748,,1326.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,pautas_locales_mexico_febrero.xlsx,,,,
2020-02-28,2020-02-29 00:00:00,February,Corporate Affairs,MEX,Mexico,MCMMIA_2020_MEX_Kelloggs_Corporate Affairs_Seasonal_Comunicado 9 Marzo_Twitter_Family breakfast,Twitter,Twitter,"Post  Ad/
Video Ad",Reach,200.0,119695.0,,1.67091357199549,1310.0,,,0.0,,,,0.0,,0.0,,,,pautas_locales_mexico_febrero.xlsx,,,,
2019-07-01,,July,Choco Krispis,CARICAM,Guatemala,Nuevo Posicionamiento,Teads,Teads,,,2500,,0.0,,,,,,,,,,,,,,,pautas_locales_regional_2019.xlsx,,,,
2019-03-31,,April,Choco Krispis,CARICAM,Guatemala,Nuevo Posicionamiento,Social Media,Kidscorp,,,2000,,0.0,,,,,,,,,,,,,,,pautas_locales_regional_2019.xlsx,,,,
