Campaign Name,Mediaplan
MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_GTM_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_GTM_KELLOGGS_SPECIALK_SEASONAL_ALIMENTAMOSLOQUEERES_XAXISPUSHNOTIFICATIONADS_BREAKFASTFORONE_CPM-XAXISPUSHNOTIFICATIONADS,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_REDCITYGDL_AZTECA_EVENINGME_FIXED-AZTECA,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
